acronym,name
BTT,Bonefish & Tarpon Trust
CFRD,"Center for Fisheries Research and Development, University of Southern Mississippi"
EMEL,"Estuarine and Movement Ecology Lab, University of Southern Mississippi"
FAMEL,"Fisheries and Movement Ecology Lab, Louisiana State University"
FWRI,Florida Fish and Wildlife Research Institute
MDMR,Mississippi Department of Marine Resources
MSU,Mississippi State University
TAMU,Texas A&M University
TAMUCC,Texas A&M University-Corpus Christi
TAMUG,Texas A&M University at Galveston
USA,University of South Alabama
USF,University of South Florida
USGS,U.S. Geological Survey
USM,University of Southern Mississippi
