"cell_lat","cell_lon","Status","n_receivers"
19.125,-95.825,"Active",2
24.425,-82.125,"Not specified",1
24.425,-82.025,"Not specified",2
24.425,-81.975,"Not specified",11
24.425,-81.925,"Not specified",40
24.425,-81.875,"Not specified",7
24.475,-83.125,"Not specified",5
24.475,-82.225,"Not specified",1
24.475,-82.175,"Not specified",1
24.475,-81.925,"Not specified",5
24.475,-81.875,"Not specified",15
24.475,-81.825,"Not specified",2
24.475,-81.775,"Not specified",12
24.475,-81.725,"Not specified",7
24.525,-83.125,"Not specified",7
24.525,-83.075,"Not specified",3
24.525,-81.975,"Not specified",3
24.525,-81.875,"Not specified",11
24.525,-81.575,"Not specified",2
24.575,-81.825,"Not specified",9
24.575,-81.775,"Not specified",3
24.575,-81.725,"Not specified",6
24.625,-82.225,"Not specified",3
24.625,-81.175,"Not specified",1
24.675,-81.925,"Not specified",1
24.675,-81.725,"Not specified",1
24.675,-80.975,"Not specified",1
25.075,-80.975,"Not specified",1
25.075,-80.925,"Not specified",2
25.125,-80.975,"Not specified",3
25.125,-80.925,"Not specified",4
25.125,-80.875,"Not specified",7
25.175,-83.475,"Not specified",1
25.175,-80.875,"Not specified",1
25.225,-82.425,"Proposed",1
25.425,-80.175,"Not specified",3
25.425,-80.125,"Not specified",17
25.475,-80.175,"Not specified",1
25.475,-80.125,"Not specified",20
25.975,-97.075,"Active",1
26.025,-83.075,"Not specified",1
26.125,-96.875,"Active",1
26.125,-96.225,"Active",1
26.175,-96.875,"Active",1
26.175,-82.925,"Proposed",1
26.175,-81.925,"Not specified",1
26.275,-97.025,"Active",2
26.275,-82.825,"Proposed",1
26.275,-82.025,"Not specified",1
26.275,-81.925,"Not specified",1
26.325,-82.225,"Proposed",1
26.325,-82.075,"Proposed",1
26.325,-81.925,"Not specified",1
26.375,-82.025,"Proposed",1
26.425,-97.025,"Active",2
26.425,-82.425,"Proposed",1
26.425,-82.325,"Proposed",1
26.425,-82.175,"Proposed",1
26.425,-81.975,"Proposed",1
26.525,-97.125,"Active",1
26.525,-80.075,"Not specified",1
26.525,-80.025,"Not specified",2
26.575,-97.375,"Active",1
26.575,-97.325,"Active",2
26.575,-97.275,"Active",1
26.575,-82.725,"Proposed",1
26.575,-80.025,"Not specified",1
26.625,-80.025,"Not specified",2
26.675,-82.375,"Proposed",1
26.675,-80.025,"Not specified",2
26.725,-80.025,"Not specified",3
26.775,-80.025,"Not specified",13
26.775,-79.975,"Not specified",2
26.775,-79.025,"Not specified",1
26.825,-97.475,"Active",1
26.825,-80.075,"Not specified",2
26.825,-80.025,"Not specified",3
26.875,-80.025,"Not specified",1
26.925,-80.125,"Not specified",1
26.925,-80.075,"Not specified",2
26.925,-80.025,"Not specified",4
26.975,-97.475,"Active",1
26.975,-80.125,"Not specified",5
26.975,-80.075,"Not specified",3
26.975,-80.025,"Not specified",3
27.025,-96.725,"Active",1
27.025,-80.075,"Not specified",4
27.025,-80.025,"Not specified",3
27.075,-80.125,"Not specified",1
27.075,-80.025,"Not specified",1
27.125,-97.425,"Active",1
27.125,-80.175,"Not specified",1
27.125,-80.125,"Not specified",2
27.175,-82.925,"Not specified",1
27.175,-80.275,"Not specified",5
27.175,-80.225,"Not specified",2
27.175,-80.175,"Not specified",8
27.175,-80.125,"Not specified",1
27.175,-80.075,"Not specified",1
27.225,-80.325,"Not specified",1
27.225,-80.275,"Not specified",6
27.225,-80.225,"Not specified",5
27.225,-80.175,"Not specified",4
27.225,-80.125,"Not specified",8
27.225,-80.075,"Not specified",6
27.225,-80.025,"Not specified",1
27.275,-80.325,"Not specified",1
27.275,-80.225,"Not specified",6
27.325,-80.325,"Not specified",2
27.325,-80.275,"Not specified",1
27.375,-80.325,"Not specified",2
27.425,-96.775,"Planned",1
27.425,-96.525,"Active",2
27.425,-82.975,"Not specified",1
27.475,-83.275,"Not specified",1
27.475,-83.225,"Not specified",1
27.475,-83.075,"Not specified",1
27.475,-82.975,"Not specified",2
27.475,-82.875,"Not specified",1
27.475,-80.325,"Not specified",1
27.475,-80.275,"Not specified",1
27.525,-83.725,"Not specified",1
27.525,-83.425,"Not specified",1
27.525,-82.975,"Not specified",1
27.525,-82.875,"Not specified",1
27.525,-82.775,"Not specified",1
27.575,-97.225,"Planned",1
27.575,-96.475,"Active",1
27.575,-83.125,"Not specified",1
27.575,-82.675,"Not specified",1
27.625,-97.225,"Active",4
27.625,-97.025,"Active",1
27.625,-83.325,"Proposed",1
27.625,-82.575,"Not specified",1
27.675,-97.325,"Active",1
27.675,-96.275,"Planned",1
27.675,-83.275,"Not specified",1
27.675,-83.075,"Not specified",2
27.675,-82.875,"Not specified",2
27.675,-82.575,"Not specified",2
27.675,-80.375,"Not specified",1
27.725,-97.325,"Active",5
27.725,-97.125,"Active",1
27.725,-97.075,"Active",2
27.725,-96.175,"Active",1
27.725,-82.525,"Not specified",1
27.775,-96.225,"Active",1
27.775,-95.075,"Active",1
27.775,-94.975,"Active",1
27.775,-94.825,"Active",1
27.775,-94.725,"Active",1
27.825,-97.075,"Active",2
27.825,-97.025,"Active",1
27.825,-96.525,"Active",1
27.825,-93.675,"Active",1
27.825,-93.075,"Active",1
27.825,-92.875,"Active",1
27.825,-91.825,"Active",1
27.875,-97.175,"Active",4
27.875,-97.125,"Active",2
27.875,-97.075,"Active",2
27.875,-96.175,"Active",1
27.875,-93.825,"Active",1
27.875,-93.625,"Active",1
27.875,-93.425,"Active",1
27.875,-93.325,"Active",1
27.875,-80.475,"Not specified",1
27.875,-80.425,"Not specified",2
27.925,-96.325,"Active",1
27.925,-93.825,"Active",1
27.925,-93.625,"Active",2
27.925,-93.625,"Planned",2
27.925,-93.575,"Active",4
27.925,-93.575,"Planned",4
27.925,-93.425,"Active",1
27.925,-92.425,"Planned",1
27.925,-92.375,"Active",1
27.925,-92.375,"Planned",2
27.975,-92.575,"Active",1
27.975,-92.525,"Active",1
27.975,-92.425,"Active",1
27.975,-92.375,"Active",1
27.975,-92.375,"Planned",1
27.975,-92.025,"Active",1
27.975,-91.675,"Active",1
28.025,-93.975,"Active",1
28.025,-93.525,"Active",1
28.025,-92.475,"Active",1
28.025,-92.475,"Planned",1
